State/Union Territory,2015-19,,
,Male,Female,Total
,68,69,70
Andhra Pradesh,68.9,71.8,70.3
Assam,66.8,68.3,67.5
Bihar,69.6,68.8,69.2
Chhattisgarh,63.7,66.9,65.3
Delhi,74.3,77.5,75.9
Gujarat,67.9,72.8,70.2
Haryana,67.7,72.6,69.9
Himachal Pradesh,69.9,77.1,73.1
Jammu & Kashmir,72.6,76.1,74.2
Jharkhand,70.2,68.8,69.4
Karnataka,67.9,71.3,69.5
Kerala,72.3,78,75.2
Madhya Pradesh,65.2,69.1,67
Maharashtra,71.6,74,72.7
Odisha,68.5,71.1,69.8
Punjab,71.1,74.7,72.8
Rajasthan,66.8,71.3,69
Tamil Nadu,70.6,74.9,72.6
Telangana,68.6,71.1,69.8
Uttar Pradesh,65,66.2,65.6
Uttarakhand,67.6,73.9,70.6
West Bengal,71,73.2,72.1
ALL INDIA,68.4,71.1,69.7