STATE,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022
Andhra Pradesh,6.2,7.1,9.2,5.3,4.4,4.5,5.8,6,4.8,5.4,9
Assam,8.5,10.2,7.7,1.2,8.2,17.2,3.7,NA,0.4,8.1,13.2
Bihar,13.3,13.9,14.4,21.1,13.3,14,18.8,12.8,11.4,15,17.3
Chhattisgarh,3,1.7,0.6,0.6,0.8,1.2,0.8,0.4,0.1,0.9,0.1
Delhi,14.1,9.3,8.9,11.2,13.6,10.2,8.9,8.2,9.6,6.7,12.6
Goa,11.6,12,12.7,15.5,13.4,5.5,13.7,13.7,10.9,NA,13.6
Gujarat,1.2,2.5,1.8,1.6,2.1,3,2.2,2.6,1.6,1.7,2.5
Haryana,23.4,30.9,26.5,34.5,24.6,30.5,26.9,37.3,22.9,31.7,30.6
Himachal Pradesh,13.8,11.8,11.7,0.2,9.6,10.7,6.3,7.3,8.6,9.7,8.8
Jammu & Kashmir,15.2,13.2,25,15.6,18.3,17.2,20.2,32.8,23.2,22.6,22.4
Jharkhand,8.9,15,14.5,14.2,13.1,12.1,14,17.3,12.2,17.1,14.3
Karnataka,2.9,2,1.8,2.7,4.3,3.7,3.5,3.5,3.7,2.8,1.8
Kerala,5,5,6.7,5.8,5.8,5.3,4.9,6.1,6.4,4.8,5.9
Madhya Pradesh,3,2.8,1.6,1.6,1.7,0.5,1.9,2.6,0.8,0.8,6.9
Maharashtra,4.2,4.3,4,3.1,4.2,4.8,3.7,2.2,4,4.3,3.6
Meghalaya,1.5,1.4,2,2.2,4.1,2.3,1.5,2,2.3,3.5,2.3
Odisha,1.8,1,9.7,1.5,2.6,1.2,0.9,2.6,2.9,1.1,1.6
Puducherry,7.8,3.7,4.2,5.6,5.6,0.8,2.8,5.2,3.9,2.6,2.9
Punjab,9.3,9,6.9,7.2,9.2,8.5,7.7,7.4,7.2,9.1,7.8
Rajasthan,18.9,32.4,24.5,28.8,22.2,29.9,19.6,31.4,23.9,31.3,25
Sikkim,NA,NA,NA,8.7,7.5,12.7,6.5,NA,NA,3.9,5.7
Tamil Nadu,5.3,3.2,4.1,3.2,3.1,2.1,3,7.2,4.1,3,3.8
Telangana,0.7,12.9,6.5,9.9,9.4,10,5.8,6.9,8.6,8.8,6
Tripura,17.1,9.8,14.1,14.6,17.4,9.4,13,16.3,17,10.6,14.4
Uttar Pradesh,3,2.7,4.4,2.9,3.1,2.8,3.3,3.9,4,4.1,4.1
Uttarakhand,3.5,4.6,3.5,5.3,2.9,8.7,NA,NA,0.5,3.3,1.2
West Bengal,6.4,6.3,5.6,6.2,5.8,5.2,6.3,7.4,3.3,5.8,5.4